TAGCOUNT,GRIDX,GRIDY,TAGSIZE,SCORE
16,4,4,10,0.11334544222264376
20,5,4,10,0.10992988765810949
24,6,4,10,0.10900104533740279
28,7,4,10,0.11254749269950517
32,8,4,10,0.11177528686911255
36,9,4,10,0.11478895348869851
40,10,4,10,0.11843389603977883
44,11,4,10,0.10984916048626878
48,12,4,10,0.1111687274703623
52,13,4,10,0.11265850898824818
56,14,4,10,0.11374224674593506
60,15,4,10,0.11527316614671786
64,16,4,10,0.10986098112292957
68,17,4,10,0.11508635406591784
72,18,4,10,0.11443672714349572
